date,high,low,open,close,volume,quoteVolume,weightedAverage
1641035100,3702.00218505,3696.54038559,3698.71723796,3701.39025305,1285.86321628,0.34755317,3699.75971239
1641035400,3702.85698442,3697.64966891,3701.20518584,3702.59244514,407.28764866,0.110069,3700.2938944
1641035700,3711.34522703,3701.48078533,3702.12963189,3711.34522703,32029.05423998,8.64231005,3706.07558102
1641036000,3711.43800603,3702.95509052,3711.25244108,3708.01583145,354.90325159,0.09574127,3706.89935068
1641036300,3708.13085235,3705.0220249,3706.78775983,3705.0220249,4722.32369844,1.27384234,3707.14926812
1641036600,3707.59582133,3702.13247337,3706.85439816,3703.19976699,245.41623977,0.06624976,3704.40949174
1641036900,3707.91845939,3698.17589175,3703.76495864,3705.70363794,36653.65986608,9.89514378,3704.20689997
1641037200,3709.5,3704.25260071,3705.99509562,3706.60673875,1095.26960436,0.29542143,3707.48189921
1641037500,3709.29294058,3704.13726926,3705.21798677,3706.24122107,308.66405513,0.08327602,3706.51785636
1641037800,3705.82436215,3696.4936732,3705.63907787,3696.49847691,530.74667835,0.14336839,3701.97836744
1641038100,3700.08817718,3692.95927778,3696.26640702,3693.96196677,503.90585014,0.13632238,3696.42790968
1641038400,3699.77284768,3694.15093799,3694.504794,3697.13414757,739.03190831,0.19988125,3697.35484603
1641038700,3704.65927263,3697.07480922,3697.64505688,3703.85536913,30363.92043461,8.20725549,3699.64362284
1641039000,3708.92413436,3701.37867031,3704.262964,3707.67521623,28351.57189117,7.65563902,3703.3579845
1641039300,3708.99091136,3702.66872392,3708.73830243,3705.86201381,29104.90725121,7.85342841,3706.0129324
1641039600,3706.89552921,3703.29608483,3705.02827588,3704.08626783,8635.36319667,2.33090851,3704.71992342
1641039900,3704.08626783,3698.4113266,3704.08626783,3701.15876878,253.29086201,0.06843619,3701.12453674
1641040200,3714.87632385,3700.8018232,3700.97804346,3709.5887166,1673.63552472,0.45120368,3709.26833913
1641040500,3712.34979612,3708.2139902,3709.5887166,3708.2139902,2825.41792184,0.76154868,3710.09496313
1641040800,3712.61265432,3705.72925574,3708.84799071,3705.72925574,14843.65667112,4.00393789,3707.26446786
1641041100,3710.2595956,3707.74917701,3709.48153653,3710.2595956,2307.69034693,0.62211418,3709.43216071
1641041400,3715.03728159,3709.70307373,3709.70307373,3713.11773375,242.00135375,0.06518571,3712.49087808
1641041700,3717.58623416,3711.90942228,3713.39622456,3715.99730963,45866.11489729,12.34912218,3714.11945146
1641042000,3724.16444352,3713.22356406,3717.20521612,3714.14596694,16166.03519838,4.34250177,3722.7469451
1641042300,3715.04120912,3710.67350996,3713.86741295,3711.68722721,2121.80358579,0.57164578,3711.74538504
1641042600,3719.78224035,3711.40885762,3711.40885762,3719.78224035,18232.99093571,4.90805205,3714.91393122
1641042900,3721.02947707,3716.78969827,3719.57223852,3719.00980038,222.84218609,0.05992406,3718.74312406
1641043200,3720.02725098,3714.30045103,3719.00980038,3714.30045103,2708.58769776,0.72856722,3717.69086422
1641043500,3715.47485607,3709.66337994,3714.30045103,3715.44802849,34770.4583695,9.35875813,3715.28549904
1641043800,3716.78674128,3708.09066451,3715.44802849,3710.34076833,36376.31063371,9.80216527,3711.04849099
1641044100,3716.22506526,3708.58364972,3710.37525948,3715.76491412,57580.89714401,15.52449327,3709.03553131
1641044400,3721.24558693,3715.0003886,3715.5791282,3720.40717917,18297.5692325,4.9244692,3715.6429433
1641044700,3720.40717917,3712.03968311,3720.40717917,3712.31807751,25703.12135167,6.91492346,3717.05073821
1641045000,3712.22526956,3707.29048507,3712.22526956,3707.29048507,211.10249509,0.05689853,3710.15727638
1641045300,3713.20248795,3705.98228095,3707.29048507,3709.91856362,22795.20891998,6.14870291,3707.3199427
1641045600,3712.94686518,3709.91853674,3709.91853674,3710.73401135,14277.56046338,3.84782544,3710.55306068
1641045900,3710.36295148,3704.7308934,3710.36295148,3705.85811416,51738.50220898,13.96043293,3706.08149965
1641046200,3709.08887172,3706.24035029,3706.60725278,3706.25611102,27499.48308379,7.41549265,3708.38248808
1641046500,3713.32409241,3705.99454519,3706.99185602,3706.5122154,43435.22736899,11.70876668,3709.63300884
1641046800,3711.94159743,3705.97775682,3706.5122154,3710.97321289,19015.93190068,5.12952032,3707.15597451
1641047100,3710.62227009,3707.60761295,3710.23106634,3709.84485339,14175.91544624,3.8207814,3710.21368724
1641047400,3710.49746488,3695.18194023,3710.49746488,3696.52487066,18351.5044533,4.95920411,3700.4938789
1641047700,3700.69574199,3692.99598487,3695.94580179,3699.33223104,15680.35049567,4.23789635,3700.03161962
1641048000,3706.47415491,3697.57617012,3697.57617012,3702.47834372,14048.41851512,3.79031446,3706.39920866
1641048300,3705.23513048,3700.39924574,3701.57434247,3702.58614271,399362.83252133,107.86153252,3702.55106886
1641048600,3704.52058031,3700.30124657,3700.30124657,3703.52282722,82899.81954454,22.38405124,3703.52170193
1641048900,3703.61541761,3698.09146641,3703.51857395,3698.09146641,252747.96281084,68.24787658,3703.3820754
1641049200,3704.81438819,3693.37736508,3697.8799326,3704.81438819,1378.02079057,0.37252236,3699.16262362
1641049500,3709.71827708,3704.90376519,3705,3706.22009682,1288.166917,0.34743634,3707.63437412
1641049800,3707.72626935,3703.1850328,3705.24504028,3706.20479068,569.28106087,0.15361787,3705.82576672
1641050100,3709.63892361,3704.31665984,3706.20479068,3708.621974,111.88903473,0.03018071,3707.30293421
1641050400,3709.3806631,3705.6183984,3707.17949068,3706.93550482,139.91314113,0.03773072,3708.20225902
1641050700,3712.31585495,3706.75015536,3706.75015536,3711.69327358,289.71777639,0.07811033,3709.08401483
1641051000,3741.21,3712.62159299,3712.62159299,3737.29877277,101441.51376347,27.13938503,3737.79706693
1641051300,3745,3733.15395789,3737.5797463,3741.51004327,14409.97397284,3.85052012,3742.34480635
1641051600,3743.91988196,3732.24815073,3741.04237788,3734.68294771,7847.45932876,2.10165638,3733.94024039
1641051900,3741.3390002,3721.98729081,3733.58768456,3723.32869981,140923.79222593,37.78667197,3729.45763357
1641052200,3726.49739258,3718.88802299,3722.12247781,3724.54391484,18458.98308927,4.95655411,3724.15647637
1641052500,3726.0015098,3719.36639032,3723.39492439,3725.54166093,24506.60559557,6.5835104,3722.42224992
1641052800,3732.37472036,3719.51275686,3725.64154422,3725.59506745,28388.91095754,7.61878655,3726.17224163
1641053100,3737.95373603,3725.32489572,3727.53748497,3735.75704759,17351.10607056,4.64884416,3732.34840174
1641053400,3742.96438133,3733.79072763,3736.53406546,3735.89797284,31817.07422992,8.50748537,3739.89173606
1641053700,3737.09678844,3730.66192607,3737.09678844,3733.71382895,9736.4124231,2.60719959,3734.43309075
1641054000,3739.20938678,3732.82371614,3733.71382895,3735.95998899,7022.4445777,1.87902539,3737.28030237
1641054300,3748.62529202,3736.27603777,3736.369447,3745.45267914,17298.50171634,4.62472396,3740.43983294
1641054600,3746.48661606,3739.86840502,3745.36794533,3744.97806471,12365.99358207,3.30281102,3744.08148307
1641054900,3745.78382723,3735.73794823,3744.16104332,3738.03060407,82.82118505,0.02214397,3740.12361163
